id_barrio,nombre,id_comuna
101,CIUDADELA LA LINDA,12
102,BELLA MONTAÑA,12
103,SACATIN,12
104,VILLAPILAR,12
105,CHIPRE,12
106,CAMPOHERMOSO,12
107,MORROGACHO,12
108,LA FRANCIA,12
109,LOS ALCAZARES,12
110,ARENILLO,12
201,ASIS,13
202,AVANZADA,13
203,SAN IGNACIO,13
204,GALAN,13
205,ESTRADA,13
206,DELICIAS,13
207,SAN JOSE,13
208,COLON,13
301,LAS AMERICAS,14
302,LOS AGUSTINOS,14
303,CENTRO,14
304,SAN JOAQUIN,14
305,CAMPOAMOR,14
306,FUNDADORES,14
401,SANTA HELENA,15
402,LOS CEDROS,15
403,SAN JORGE,15
404,EL SOL,15
405,LA ARGENTINA,15
406,LA ASUNCION,15
407,VERSALLES,15
408,EL CAMPIN,15
409,LLERAS,15
501,PUERTA DEL SOL ,16
502,SIERRA MORENA,16
503,EL CARIBE,16
504,SAN CAYETANO,16
505,BOSQUES DEL NORTE,16
506,SAN SEBASTIAN,16
507,FANNY GONZALEZ,16
508,ALTOS DE CAPRI,16
509,VILLA JULIA,16
510,PERALONSO,16
601,VIVEROS,17
602,LA CUMBRE,17
603,MINITAS,17
604,BAJA SUIZA,17
605,ALTA SUIZA,17
606,RESIDENCIAS MANIZALES,17
607,COLSEGUROS,17
608,LA TOSCANA,17
609,LA SULTANA,17
610,BOSQUES DE NIZA,17
701,SAN MARCEL,18
702,ALHAMBRA,18
703,CERROS DE LA ALHAMBRA,18
704,MALTERIA,18
705,ZONA INDUSTRIAL,18
706,CASERIO LA ENEA,18
707,LA ENEA,18
708,LUSITANIA,18
801,LEONORA,19
802,LOS ROSALES,19
803,LA RAMBLA,19
804,LAURELES,19
805,PALOGRANDE,19
806,LA ESTRELLA,19
807,BELEN,19
808,GUAYACANES,19
809,ARBOLEDA,19
810,PALERMO,19
811,CAMELIA,19
812,SANCANCIO,19
813,MILAN,19
814,EL TREBOL,19
901,BETANIA,20
902,FATIMA,20
903,VIVIENDA POPULAR,20
904,PIO XII,20
905,KENNEDY,20
906,CAMILO TORRES,20
907,LAS COLINAS,20
908,MALHABAR,20
909,ARANJUEZ,20
1001,URIBE,21
1002,VELEZ,21
1003,COLOMBIA,21
1004,EL PRADO,21
1005,BAJO PRADO,21
1006,GONZALEZ,21
1007,PERSIA,21
1008,GUAMAL,21
1009,EL PARAISO,21
1010,VILLACARMENZA,21
1011,ARRAYANES,21
1012,CERVANTES,21
1013,NEVADO,21
1014,MARMATO,21
1101,SAN ANTONIO,22
1102,20 DE JULIO,22
1103,EL CARMEN,22
1104,EL BOSQUE,22
1105,CASTELLANA,22
1106,BUENA ESPERANZA,22
1107,NOGALES,22
1108,PANORAMA,22
1109,CENTENARIO,22
1110,ESTAMBUL,22
1201,SOLFERINO,22
1202,LA CAROLA,22
1203,VILLAHERMOSA,22
1204,COMUNEROS,22
1205,PORVENIR,22
1206,SINAI,22
